Release 8.1i - Fit P.49d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-24-2014  6:53PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  busybody.ngd
output file: busybody_pad.csv
Part type:   xc95108
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P71,DuartDataTransferAcknowledgeN,I,I/O,INPUT,,,,,,,,,
P72,DuartReadWriteN,O,I/O,OUTPUT,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,DuartInterruptAcknowledgeN,O,I/O/GSR,OUTPUT,,,,,,,,,
P75,DuartChipSelectN,O,I/O,OUTPUT,,,,,,,,,
P76,DuartResetN,O,I/O/GTS1,OUTPUT,,,,,,,,,
P77,TIE,,I/O/GTS2,,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,LED<1>,O,I/O,OUTPUT,,,,,,,,,
P80,LED<2>,O,I/O,OUTPUT,,,,,,,,,
P81,LED<3>,O,I/O,OUTPUT,,,,,,,,,
P82,LED<4>,O,I/O,OUTPUT,,,,,,,,,
P83,LED<5>,O,I/O,OUTPUT,,,,,,,,,
P84,LED<6>,O,I/O,OUTPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


